response_id,duration_ms,memory_utilization_percentage,total_memory,cpu_total_time_ms,total_network_bytes,billed_mb_ms,invoke_cost_gb_per_second,cold_start,@ptr,init_duration_ms
fd0f9aff-b8b7-4563-bfd4-5aedae5a91c5,10811,19,1024,3750,138869,11071488,11.0715,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAUSNRoYAgYrFDQ9AAAAAucmCUcABkMtP5AAAAHSIAEolq2wtPYwMJatsLT2MDgBQM8ISM0iUMEOGAAQABgB,
b07028a1-f90c-4f60-a7ef-cc29eb6585ac,11157,19,1024,4330,139399,11425792,11.4258,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAcSNRoYAgZASn6JAAAAAJ/XkRkABkMtP1AAAACSIAEolq2wtPYwMJatsLT2MDgBQNEISMgiULwOGAAQABgB,
4d9ec059-f28b-4d5d-914b-f8f432677142,10832,19,1024,3870,128939,11092992,11.093,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAQSNRoYAgY+3PaWAAAAAFKQ04sABkMtOKAAAANiIAEo0aqrtPYwMJatsLT2MDgLQMFeSOI6UNMmGAAQChgB,
9673b790-172c-4011-846a-679f8e1f8ac0,4558,19,1024,1530,65652,4668416,4.6684,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAISNRoYAgY90g6xAAAAAptty68ABkMtO3AAAAcSIAEo5NSttPYwMPDPr7T2MDgDQOMZSPgpUOsVGAAQAhgB,
6866362d-c3e5-4a15-9d7b-2da88ef84cd1,2269,19,1024,1100,204168,2324480,2.3245,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAESNRoYAgXzn9uEAAAABDiB+4AABkMtPnAAAAJCIAEouaSvtPYwMKTJr7T2MDgCQJwRSO0mUOASGAAQARgB,
91a9c533-c46b-4e7b-9c28-c01e1b69d914,4680,15,1024,1830,65500,4793344,4.7933,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAQSNRoYAgY+3PaWAAAAAFKQ04sABkMtOKAAAANiIAEo0aqrtPYwMJatsLT2MDgLQMFeSOI6UNMmGAAQCRgB,
cc70b376-6673-4c4e-9b34-77d7614f5d50,2241,19,1024,1100,201372,2295808,2.2958,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAASNRoYAgZCxV47AAAAABuNj5wABkMtPMAAAAKyIAEou5CutPYwMIG+r7T2MDgGQL8zSOcwUNgcGAAQBRgB,
9edad2a2-9e18-4de2-8219-705019f3ad8d,4739,18,1024,1640,65450,4853760,4.8538,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAQSNRoYAgY+3PaWAAAAAFKQ04sABkMtOKAAAANiIAEo0aqrtPYwMJatsLT2MDgLQMFeSOI6UNMmGAAQCBgB,
e0d6a95c-0cf6-4373-a2da-fad753fa63ef,4599,19,1024,1520,65322,4710400,4.7104,0,CmEKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAcSNhoYAgZASn6JAAAAAJ/V6zYABkMtN1AAAACSIAEo1YGptPYwMPe6r7T2MDgTQJ+jAUjaSVDKNRgAEBIYAQ==,
873062d2-c3e2-4d8b-b11e-fa4873a470c5,4799,19,1024,1840,65796,4915200,4.9152,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAASNRoYAgZCxV47AAAAABuNj5wABkMtPMAAAAKyIAEou5CutPYwMIG+r7T2MDgGQL8zSOcwUNgcGAAQBBgB,
5dd3009a-652d-4e8e-83b6-8791b4d01f6f,2317,19,1024,1110,200756,2373632,2.3736,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAMSNRoYAgY0Q+tJAAAABDpwvUQABkMtPjAAAAKSIAEozrKvtPYwMJa4r7T2MDgCQJoRSLEmUKQSGAAQARgB,
dcbf57a0-7fbf-4acf-a426-03892fe66e67,2271,19,1024,1140,201040,2326528,2.3265,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAYSNRoYAgYiag15AAAAAjOm6SIABkMtOlAAAAWSIAEotaOttPYwMKu1r7T2MDgHQIQ8SI8zUIAfGAAQBhgB,
c66d4b2d-506b-4281-b680-4c57ce40099b,2245,19,1024,1060,192387,2299904,2.2999,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAASNRoYAgZCxV47AAAAABuNj5wABkMtPMAAAAKyIAEou5CutPYwMIG+r7T2MDgGQL8zSOcwUNgcGAAQAxgB,
46855edf-e3cb-49c9-a450-d9625bfa536d,5382,19,1024,2180,65754,5512192,5.5122,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAASNRoYAgZCxV47AAAAABuNj5wABkMtPMAAAAKyIAEou5CutPYwMIG+r7T2MDgGQL8zSOcwUNgcGAAQAhgB,
7bba997e-82fc-4d89-ad41-2e3d4ef5b03e,10651,15,1024,3840,139438,10907648,10.9076,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAMSNRoYAgY0Q+tJAAAABDpwvUQABkMtPjAAAAKSIAEozrKvtPYwMJa4r7T2MDgCQJoRSLEmUKQSGAAQABgB,
07cf0273-4509-4ad8-96ed-3acdbf89e4ca,5024,19,1024,2100,54350,5145600,5.1456,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAASNRoYAgZCxV47AAAAABuNj5wABkMtPMAAAAKyIAEou5CutPYwMIG+r7T2MDgGQL8zSOcwUNgcGAAQARgB,
c0526e5e-4cec-451e-951d-be59a69f15f3,10840,19,1024,3940,139758,11101184,11.1012,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAQSNRoYAgY+3PaWAAAAAFKQ04sABkMtOKAAAANiIAEo0aqrtPYwMJatsLT2MDgLQMFeSOI6UNMmGAAQBxgB,
d082c1c8-61c3-4c68-ad17-e43e79f1508e,4570,19,1024,1600,54399,4680704,4.6807,0,CmEKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAcSNhoYAgZASn6JAAAAAJ/V6zYABkMtN1AAAACSIAEo1YGptPYwMPe6r7T2MDgTQJ+jAUjaSVDKNRgAEBEYAQ==,
3c6a11fa-a991-42b3-b921-c2fd1ecb86ce,10761,19,1024,3770,139360,11020288,11.0203,0,CmEKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAcSNhoYAgZASn6JAAAAAJ/V6zYABkMtN1AAAACSIAEo1YGptPYwMPe6r7T2MDgTQJ+jAUjaSVDKNRgAEBAYAQ==,
